adapt,agent,collected,coverage,goal_success_rate,seed
0,phase1,1.3333333333333333,0.2619047619047619,0.6666666666666666,1
100,phase1,1.3333333333333333,0.2619047619047619,0.6666666666666666,1
500,phase1,1.3333333333333333,0.2619047619047619,0.6666666666666666,1
1000,phase1,1.3333333333333333,0.2619047619047619,0.6666666666666666,1
0,phase0,1.3333333333333333,0.23571428571428574,0.6666666666666666,0
100,phase0,1.3333333333333333,0.23571428571428574,0.6666666666666666,0
500,phase0,1.3333333333333333,0.23571428571428574,0.6666666666666666,0
1000,phase0,1.3333333333333333,0.23571428571428574,0.6666666666666666,0
0,phase0,1.0,0.14047619047619048,0.6666666666666666,1
100,phase0,1.0,0.14047619047619048,0.6666666666666666,1
500,phase0,1.0,0.14047619047619048,0.6666666666666666,1
1000,phase0,1.0,0.14047619047619048,0.6666666666666666,1
0,phase0,0.3333333333333333,0.12857142857142856,0.3333333333333333,2
100,phase0,0.3333333333333333,0.12857142857142856,0.3333333333333333,2
500,phase0,0.3333333333333333,0.12857142857142856,0.3333333333333333,2
1000,phase0,0.3333333333333333,0.12857142857142856,0.3333333333333333,2
