adapt,agent,collected,coverage,goal_success_rate,seed
0,phase1,2.3333333333333335,0.39181286549707606,1.0,1
100,phase1,2.3333333333333335,0.39181286549707606,1.0,1
500,phase1,2.3333333333333335,0.39181286549707606,1.0,1
1000,phase1,2.3333333333333335,0.39181286549707606,1.0,1
0,phase0,0.3333333333333333,0.14327485380116958,0.3333333333333333,0
100,phase0,0.3333333333333333,0.14327485380116958,0.3333333333333333,0
500,phase0,0.3333333333333333,0.14327485380116958,0.3333333333333333,0
1000,phase0,0.3333333333333333,0.14327485380116958,0.3333333333333333,0
0,phase0,1.0,0.19005847953216373,0.3333333333333333,1
100,phase0,1.0,0.19005847953216373,0.3333333333333333,1
500,phase0,1.0,0.19005847953216373,0.3333333333333333,1
1000,phase0,1.0,0.19005847953216373,0.3333333333333333,1
0,phase0,0.6666666666666666,0.2134502923976608,0.6666666666666666,2
100,phase0,0.6666666666666666,0.2134502923976608,0.6666666666666666,2
500,phase0,0.6666666666666666,0.2134502923976608,0.6666666666666666,2
1000,phase0,0.6666666666666666,0.2134502923976608,0.6666666666666666,2
