collected,coverage,death_rate,goal_success_rate,intrinsic_mean,seed,step,step1_entity,step4_entity,step4_latent,step8_entity,step8_latent
4.0,0.5902777777777778,0.0,1.0,0.0,1,2000,0.006306377239525318,0.005953250918537378,0.007132052443921566,0.005921647883951664,0.02657916024327278
4.0,0.5902777777777778,0.0,1.0,0.0,1,5000,0.006727650295943022,0.006390053778886795,0.019613204523921013,0.006647245492786169,0.029042858630418777
2.6666666666666665,0.6145833333333334,0.0,0.6666666666666666,0.5635140538215637,2,1000,0.011355950497090816,0.007670988794416189,0.007279496639966965,0.008075075224041939,0.03231896087527275
2.6666666666666665,0.6145833333333334,0.0,0.6666666666666666,0.5616775751113892,2,2000,0.007918463088572025,0.0034982843790203333,0.0051801931113004684,0.003551129251718521,0.019370799884200096
2.6666666666666665,0.6145833333333334,0.0,0.6666666666666666,0.5347517132759094,2,5000,0.020540419965982437,0.00425981217995286,0.004034166224300861,0.004519899841398001,0.012556077912449837
4.0,0.7430555555555555,0.0,1.0,0.7708976864814758,3,1000,0.021198974922299385,0.020848585292696953,0.0077775754034519196,0.019967608153820038,0.030913181602954865
4.0,0.7430555555555555,0.0,1.0,0.9094846844673157,3,2000,0.015710024163126945,0.014883189462125301,0.010666871443390846,0.014765914529561996,0.03694058209657669
4.0,0.7430555555555555,0.0,1.0,21.239717483520508,3,5000,0.10634145140647888,0.10077281296253204,0.004352687392383814,0.10608337074518204,0.019799262285232544
3.0,0.7083333333333334,0.0,1.0,1.3261094093322754,4,1000,0.019767317920923233,0.0125731797888875,0.015676036477088928,0.01633129082620144,0.05537408962845802
3.0,0.6909722222222222,0.0,1.0,0.7886262536048889,4,2000,0.011445930227637291,0.006944268476217985,0.011206135153770447,0.007015862036496401,0.04114607721567154
3.0,0.6909722222222222,0.0,1.0,0.7988538146018982,4,5000,0.03617289289832115,0.014686533249914646,0.012262395583093166,0.022982802242040634,0.03275630250573158
3.6666666666666665,0.7534722222222222,0.0,1.0,3.412632942199707,0,1000,0.009485002607107162,0.00854917336255312,0.01357576809823513,0.01001414842903614,0.04179215058684349
3.6666666666666665,0.7534722222222222,0.0,1.0,0.7285090684890747,0,2000,0.010377248749136925,0.00861131027340889,0.004259050823748112,0.010386175476014614,0.018564268946647644
3.6666666666666665,0.7534722222222222,0.0,1.0,1.0958341360092163,0,5000,0.010832761414349079,0.009359532967209816,0.003161774482578039,0.012086361646652222,0.011266608722507954
3.6666666666666665,0.7534722222222222,0.0,1.0,16.001596450805664,0,10000,0.029949180781841278,0.02305079624056816,0.004825882613658905,0.03609322011470795,0.011946802958846092
4.0,0.5590277777777778,0.0,1.0,1.0017857551574707,1,1000,0.011698721908032894,0.01317024789750576,0.016750752925872803,0.01576397754251957,0.06427839398384094
4.0,0.5902777777777778,0.0,1.0,0.5666289925575256,1,2000,0.007560267578810453,0.0069494242779910564,0.006185154430568218,0.006705164909362793,0.025289583951234818
4.0,0.5902777777777778,0.0,1.0,1.5211577415466309,1,5000,0.01716228574514389,0.014912992715835571,0.008435972034931183,0.014599241316318512,0.02578134834766388
4.0,0.5902777777777778,0.0,1.0,0.41116100549697876,1,1000,0.010460522025823593,0.010892900638282299,0.00883205235004425,0.012137862853705883,0.03215806931257248
4.0,0.5902777777777778,0.0,1.0,0.38224655389785767,1,2000,0.0074594044126570225,0.007338240277022123,0.006617812439799309,0.007568372413516045,0.02651238813996315
4.0,0.5902777777777778,0.0,1.0,0.4421611428260803,1,5000,0.012097069062292576,0.013386175967752934,0.011945274658501148,0.015765417367219925,0.02275983616709709
4.0,0.5902777777777778,0.0,1.0,9.795475006103516,1,10000,0.04183053970336914,0.04542379081249237,0.03429547697305679,0.050825972110033035,0.06357607245445251
