collected_mean,collected_median,collected_std,coverage_mean,coverage_median,coverage_std,n,seed,train_acc,variant
0.0,0.0,0.0,0.44375,0.4166666666666667,0.23088841851759379,5.0,0,0.4699999988079071,bc
0.0,0.0,0.0,0.3291666666666667,0.3645833333333333,0.08021509711741023,5.0,0,0.29999998211860657,shuffled
0.0,0.0,0.0,0.07083333333333333,0.0625,0.013581671677505519,5.0,0,0.0,random
1.6,1.0,1.51657508881031,0.45625,0.4479166666666667,0.25710392948291466,5.0,0,1.0,rule
0.0,0.0,0.0,0.36458333333333337,0.3020833333333333,0.1930599270088608,5.0,1,0.5475000143051147,bc
0.0,0.0,0.0,0.4770833333333333,0.5208333333333334,0.12156745384079297,5.0,1,0.41749998927116394,shuffled
0.0,0.0,0.0,0.275,0.2916666666666667,0.12094104394749992,5.0,1,0.0,random
3.0,4.0,1.7320508075688772,0.5229166666666666,0.40625,0.252203827951388,5.0,1,1.0,rule
0.0,0.0,0.0,0.15,0.09375,0.1008858334400271,5.0,2,0.5154321193695068,bc
0.0,0.0,0.0,0.14583333333333334,0.09375,0.10468620438667595,5.0,2,0.40432098507881165,shuffled
0.2,0.0,0.44721359549995804,0.19166666666666668,0.1875,0.10790178468815467,5.0,2,0.0,random
1.2,2.0,1.0954451150103324,0.36874999999999997,0.3020833333333333,0.13105971656293003,5.0,2,1.0,rule
