seed,step16_entity,step16_entity_tf,step16_latent,step16_spatial,step1_entity,step1_latent,step1_spatial,step4_entity,step4_entity_tf,step4_latent,step4_spatial,step8_entity,step8_entity_tf,step8_latent,step8_spatial,traj,variant
0,0.18458837270736694,0.0857352465391159,0.8379685282707214,0.8677520155906677,0.08266348391771317,0.0031671132892370224,0.08742279559373856,0.08582735061645508,0.0824136734008789,0.05339620262384415,0.14850887656211853,0.1010049432516098,0.08243446052074432,0.21056616306304932,0.3140142560005188,0,h1
0,0.20801763236522675,0.08969957381486893,0.8391488790512085,0.8125280141830444,0.08068979531526566,0.003130584955215454,0.08965428918600082,0.08304662257432938,0.08039531111717224,0.05363934859633446,0.14403697848320007,0.11542697250843048,0.08744759857654572,0.21142692863941193,0.3013927936553955,1,h1
0,0.19473347067832947,0.08714410662651062,0.8346047401428223,0.7909825444221497,0.0810961201786995,0.003092010272666812,0.08441343903541565,0.08312513679265976,0.08087155967950821,0.05315331369638443,0.13815459609031677,0.09651774913072586,0.08087058365345001,0.21094143390655518,0.28345561027526855,2,h1
1,0.198734313249588,0.08680165559053421,0.70900559425354,0.18066248297691345,0.07508493959903717,0.0028627831488847733,0.08706212043762207,0.0795963704586029,0.07504099607467651,0.0461355522274971,0.09138774871826172,0.0954737439751625,0.07514026015996933,0.18066605925559998,0.10864008963108063,0,h1
1,0.20228467881679535,0.08675491064786911,0.7046579122543335,0.17589783668518066,0.07878231257200241,0.0028560974169522524,0.08581985533237457,0.09156186133623123,0.0842154398560524,0.04405710846185684,0.08853880316019058,0.11221019923686981,0.08423496782779694,0.17831870913505554,0.10674339532852173,1,h1
1,0.19333712756633759,0.08310307562351227,0.715846061706543,0.17616011202335358,0.07904424518346786,0.0027159731835126877,0.08973460644483566,0.08538271486759186,0.07901263236999512,0.04522094130516052,0.09311568737030029,0.10379023849964142,0.07881300151348114,0.18063591420650482,0.10779841989278793,2,h1
2,0.3120497763156891,0.10137771815061569,0.8597762584686279,0.4048003554344177,0.07845371216535568,0.003588368883356452,0.11303400993347168,0.08781008422374725,0.07824166864156723,0.05209537222981453,0.1257275938987732,0.1642642319202423,0.10136007517576218,0.2100285291671753,0.1822298765182495,0,h1
2,0.23624184727668762,0.07879241555929184,0.8709757924079895,0.4166944622993469,0.07887128740549088,0.003728469368070364,0.11079519242048264,0.0886620357632637,0.07866932451725006,0.052913762629032135,0.13125300407409668,0.11728952080011368,0.07872902601957321,0.21166859567165375,0.19935140013694763,1,h1
2,0.25869032740592957,0.08682732284069061,0.8716583251953125,0.3795378804206848,0.09164822846651077,0.0035161562263965607,0.11479514837265015,0.08757833391427994,0.0782397910952568,0.05247209221124649,0.13361641764640808,0.11538035422563553,0.07820074260234833,0.21166248619556427,0.18206988275051117,2,h1
0,0.09020701050758362,0.08543135225772858,0.203510582447052,0.08362889289855957,0.08302652090787888,0.0007976192282512784,0.08086790144443512,0.08339092880487442,0.08296141028404236,0.012706147506833076,0.0826583206653595,0.0839834213256836,0.08298911154270172,0.05108027905225754,0.08551445603370667,0,h14
0,0.09780274331569672,0.08912663161754608,0.20219320058822632,0.0751211941242218,0.08061055839061737,0.0008319472544826567,0.0820501446723938,0.08097042143344879,0.08061103522777557,0.012562882155179977,0.08016233146190643,0.08855585753917694,0.08679068833589554,0.05037500709295273,0.0827624499797821,1,h14
0,0.09352007508277893,0.08690793067216873,0.20535725355148315,0.0686335563659668,0.08109503984451294,0.0008806387195363641,0.08012227714061737,0.08140890300273895,0.08115142583847046,0.01287425123155117,0.07777170836925507,0.08182571828365326,0.08114054799079895,0.050850771367549896,0.07605481892824173,2,h14
1,0.0908113420009613,0.08931232988834381,0.14705237746238708,0.08247652649879456,0.07619272917509079,0.000776749977376312,0.08141472935676575,0.07640645653009415,0.07632426172494888,0.010641534812748432,0.08036825805902481,0.07674992829561234,0.0764184296131134,0.04065315052866936,0.081125907599926,0,h14
1,0.09074930846691132,0.08957228064537048,0.14659041166305542,0.0773976743221283,0.08017215132713318,0.0008316694875247777,0.08183912932872772,0.08571438491344452,0.086106076836586,0.010739155113697052,0.07865442335605621,0.08617784827947617,0.0861257016658783,0.040176328271627426,0.0792275071144104,1,h14
1,0.08688214421272278,0.08579229563474655,0.14875425398349762,0.0772600769996643,0.08031178265810013,0.000752133084461093,0.08512240648269653,0.08048985153436661,0.08063413947820663,0.010775230824947357,0.08166789263486862,0.08073853701353073,0.08049407601356506,0.04107252135872841,0.07982230931520462,2,h14
2,0.098431795835495,0.09418263286352158,0.1722777783870697,0.0963325947523117,0.07552637904882431,0.0011989122722297907,0.11905312538146973,0.07526399195194244,0.07537955790758133,0.014588908292353153,0.10175222158432007,0.09203978627920151,0.09325327724218369,0.04754367098212242,0.09693844616413116,0,h14
2,0.07876577973365784,0.07608138769865036,0.16958488523960114,0.10976545512676239,0.07570305466651917,0.0007772734388709068,0.11943992227315903,0.07558594644069672,0.07587036490440369,0.011353695765137672,0.10962776094675064,0.07553811371326447,0.076008640229702,0.04297829046845436,0.11155973374843597,1,h14
2,0.08599209785461426,0.08241406083106995,0.1702626794576645,0.08603764325380325,0.08549723029136658,0.0024537225253880024,0.12049058079719543,0.07533081620931625,0.07585028558969498,0.012303508818149567,0.10698491334915161,0.07527314126491547,0.07588256895542145,0.04350203275680542,0.09407302737236023,2,h14
0,0.08767983317375183,0.08468993753194809,0.13577604293823242,0.07032670080661774,0.08208049833774567,0.0008564167656004429,0.07235700637102127,0.08231177926063538,0.08194214850664139,0.009751314297318459,0.07357291132211685,0.08228756487369537,0.08193445950746536,0.037565045058727264,0.07557994872331619,0,h148
0,0.0940590351819992,0.08782802522182465,0.13367633521556854,0.06083620712161064,0.08021263033151627,0.0009281393722631037,0.07273486256599426,0.0804675966501236,0.08017221093177795,0.009465869516134262,0.07038237154483795,0.08684787154197693,0.08606215566396713,0.0364048108458519,0.06906300783157349,1,h148
0,0.09001149982213974,0.08536063879728317,0.1384708285331726,0.06434687972068787,0.08081758767366409,0.0010214521316811442,0.07266641408205032,0.08103305846452713,0.08074671775102615,0.009982645511627197,0.07037170231342316,0.0806528851389885,0.08076106011867523,0.037017591297626495,0.06954583525657654,2,h148
1,0.08857938647270203,0.08647312223911285,0.14613844454288483,0.10367437452077866,0.07614729553461075,0.0017741444753482938,0.10936706513166428,0.07636019587516785,0.0761861726641655,0.014497699216008186,0.10636924207210541,0.07666410505771637,0.07625647634267807,0.045613788068294525,0.10554628074169159,0,h148
1,0.08812639117240906,0.08584511280059814,0.14165477454662323,0.09781913459300995,0.07924231141805649,0.0006976228323765099,0.11350517719984055,0.08380323648452759,0.08373945206403732,0.009922283701598644,0.1074305921792984,0.08419366925954819,0.08367061614990234,0.0392330177128315,0.10636064410209656,1,h148
1,0.08483344316482544,0.08313581347465515,0.15527337789535522,0.0915214866399765,0.07920438796281815,0.001782567473128438,0.11661044508218765,0.07940235733985901,0.07932326942682266,0.01168648898601532,0.10955742001533508,0.07955584675073624,0.07906456291675568,0.04441968351602554,0.10212434828281403,2,h148
2,0.11741761118173599,0.10383213311433792,0.24877393245697021,0.10416857898235321,0.07905439287424088,0.0019362772582098842,0.15998008847236633,0.078729048371315,0.07916173338890076,0.016885533928871155,0.13371044397354126,0.1050863042473793,0.10379055887460709,0.06616666913032532,0.12073541432619095,0,h148
2,0.0878976583480835,0.07998407632112503,0.2475970983505249,0.11409200727939606,0.0798267051577568,0.0019448401872068644,0.15722981095314026,0.07959103584289551,0.07989997416734695,0.016906119883060455,0.1376042366027832,0.08007798343896866,0.08002940565347672,0.06585684418678284,0.1303568184375763,1,h148
2,0.09775794297456741,0.08888132125139236,0.2485411912202835,0.09074810892343521,0.09259075671434402,0.0019578493665903807,0.1612635850906372,0.07873141765594482,0.07919763773679733,0.016980420798063278,0.13735143840312958,0.079090416431427,0.07934175431728363,0.06593538820743561,0.11582203209400177,2,h148
