boundary_prob,change_prob,env,model,seed,step16_entity,step16_entity_tf,step16_latent,step16_spatial,step1_entity,step1_latent,step1_spatial,step4_entity,step4_entity_tf,step4_latent,step4_spatial,step8_entity,step8_entity_tf,step8_latent,step8_spatial,traj
0.0,0.0,world_a,persistence,0,0.00688589783385396,,0.00089376384858042,0.0202958844602108,0.01673411950469017,0.0034096455201506615,0.012683444656431675,0.01679612323641777,,0.0034427139908075333,0.014556884765625,0.00688589783385396,,0.00089376384858042,0.0202958844602108,0
0.0,0.0,world_a,persistence,0,5.166997652850114e-06,,6.61375634081196e-06,0.0067087807692587376,5.166997652850114e-06,6.61375634081196e-06,0.006344265304505825,5.166997652850114e-06,,6.61375634081196e-06,0.006739298813045025,5.166997652850114e-06,,6.61375634081196e-06,0.0078125,1
0.0,0.0,world_a,persistence,0,0.0004908647970296443,,0.0006475969566963613,0.0330674909055233,1.0334004400647245e-05,9.18582190934103e-06,0.013378567062318325,6.717097130604088e-05,,4.133601760258898e-05,0.01933797262609005,0.00013950893480796367,,0.0001148222727351822,0.0258229561150074,2
0.0,0.0,world_b,persistence,0,0.003913086839020252,,0.010516082867980003,0.02880859375,5.166998744243756e-05,8.267203520517796e-05,0.008083343505859375,0.007631888147443533,,0.006487711798399687,0.014556884765625,0.007983244024217129,,0.007532684598118067,0.020137786865234375,0
0.0,0.0,world_b,persistence,0,0.024259263649582863,,0.010421394370496273,0.023868560791015625,1.0333997124689631e-05,9.185781891574152e-06,0.00902557373046875,0.016670875251293182,,0.002893265802413225,0.01857757568359375,0.020818199962377548,,0.0042424388229846954,0.0222320556640625,1
0.0,0.0,world_b,persistence,0,0.010382735170423985,,0.07433362305164337,0.02342987060546875,5.1669949243660085e-06,1.8371563783148304e-05,0.01043701171875,0.004594189114868641,,0.005539574660360813,0.01352691650390625,0.004656192846596241,,0.006090720649808645,0.019794464111328125,2
0.5306116342544556,0.5110942721366882,world_a,random,0,0.1813153326511383,0.10120731592178345,1.5029232501983643,0.14073240756988525,0.10020680725574493,0.006106437183916569,0.12908822298049927,0.10315056145191193,0.0999278724193573,0.08128687739372253,0.13057950139045715,0.11676738411188126,0.10119687765836716,0.3229644298553467,0.13309888541698456,0
0.5305211544036865,0.5110223889350891,world_a,random,0,0.17859940230846405,0.09815241396427155,1.503814697265625,0.14013084769248962,0.09846843034029007,0.006160130258649588,0.13000896573066711,0.10140466690063477,0.09814591705799103,0.08156267553567886,0.13169249892234802,0.1137499287724495,0.09815259277820587,0.32397428154945374,0.13430967926979065,1
0.5306209325790405,0.5112223625183105,world_a,random,0,0.17927296459674835,0.10016674548387527,1.5060722827911377,0.13685140013694763,0.10135553032159805,0.0061783259734511375,0.13160493969917297,0.10421145707368851,0.10139783471822739,0.08178327232599258,0.1316428929567337,0.11623943597078323,0.10128314048051834,0.3246561288833618,0.13079187273979187,2
0.5307444334030151,0.5114519000053406,world_b,random,0,0.17664669454097748,0.09798247367143631,1.5064866542816162,0.13647276163101196,0.09991609305143356,0.006162071600556374,0.1272781640291214,0.1047765463590622,0.10177470743656158,0.08167657256126404,0.1287384033203125,0.11711692810058594,0.1017274409532547,0.3247894048690796,0.13138100504875183,0
0.5308064818382263,0.5112127661705017,world_b,random,0,0.17573702335357666,0.09611161798238754,1.5077874660491943,0.1361243724822998,0.1031072810292244,0.006008307449519634,0.12711800634860992,0.10471077263355255,0.10167459398508072,0.08133701235055923,0.1277281790971756,0.11355259269475937,0.09875758737325668,0.32331132888793945,0.12969201803207397,1
0.5306050777435303,0.5112460851669312,world_b,random,0,0.17119167745113373,0.09160640090703964,1.5066719055175781,0.1343003213405609,0.0974496528506279,0.006092832423746586,0.12571990489959717,0.09739487618207932,0.09432432055473328,0.08166865259408951,0.12689366936683655,0.1092948466539383,0.09414182603359222,0.3241504430770874,0.12798947095870972,2
,,world_a,phase0,0,0.11793465912342072,0.08012621849775314,0.7470865845680237,0.4124709963798523,0.08408614248037338,0.0032355438452214003,0.1033877432346344,0.08791555464267731,0.0852278545498848,0.05416880548000336,0.14261527359485626,0.08956214040517807,0.08008550852537155,0.20050397515296936,0.20676442980766296,0
,,world_a,phase0,0,0.13243602216243744,0.08568915724754333,0.7592458724975586,0.4501938819885254,0.08479043841362,0.0026967355515807867,0.10810476541519165,0.08927091211080551,0.08567921817302704,0.055799540132284164,0.15219110250473022,0.0988541692495346,0.08568978309631348,0.20780324935913086,0.2287324070930481,1
,,world_a,phase0,0,0.11106943339109421,0.07651989907026291,0.7266706228256226,0.4014245569705963,0.07558988779783249,0.002805163851007819,0.1018059253692627,0.07749361544847488,0.07596749067306519,0.05190899223089218,0.1416683793067932,0.08373533934354782,0.076128751039505,0.200002521276474,0.2055104523897171,2
,,world_b,phase0,0,0.13161800801753998,0.08470100164413452,0.7567979693412781,0.40613624453544617,0.08334872871637344,0.0022622407414019108,0.1014849841594696,0.08325392752885818,0.08078350871801376,0.05456780642271042,0.14105451107025146,0.09119803458452225,0.0810430720448494,0.20493271946907043,0.21865636110305786,0
,,world_b,phase0,0,0.13738813996315002,0.08684071898460388,0.7579383254051208,0.4164222478866577,0.08356665074825287,0.002596738049760461,0.10208792239427567,0.08297436684370041,0.08068743348121643,0.056569211184978485,0.13654494285583496,0.09588956832885742,0.08357244729995728,0.20761804282665253,0.20936889946460724,1
,,world_b,phase0,0,0.15867501497268677,0.09666379541158676,0.7296438217163086,0.41719797253608704,0.09003443270921707,0.0028564988169819117,0.10241963714361191,0.09993276000022888,0.09576510637998581,0.048928745090961456,0.14485794305801392,0.11310724914073944,0.09567635506391525,0.19398987293243408,0.2163514345884323,2
0.0,0.0,world_a,persistence,1,0.00992643367499113,,0.008953217417001724,0.0713772252202034,5.1669949243660085e-06,6.613744517380837e-06,0.007648043800145388,4.133596667088568e-05,,5.29099561390467e-05,0.02210489846765995,0.016883961856365204,,0.0038726083002984524,0.040557861328125,0
0.0,0.0,world_a,persistence,1,0.015392103232443333,,0.0471881665289402,0.03036329336464405,1.033399166772142e-05,9.185781891574152e-06,0.01197306253015995,5.166996561456472e-05,,9.185781891574152e-06,0.01819695346057415,0.0098095228895545,,0.004648750647902489,0.0264383964240551,1
0.0,0.0,world_a,persistence,1,0.015869978815317154,,0.014771021902561188,0.0435892753303051,1.033399166772142e-05,4.133595939492807e-05,0.0132785364985466,0.015745971351861954,,0.013640069402754307,0.02283732034265995,0.015745971351861954,,0.013964143581688404,0.027679443359375,2
0.0,0.0,world_b,persistence,1,0.006183889228850603,,0.021777020767331123,0.029449462890625,5.166998562344816e-06,4.1335988498758525e-05,0.005756378173828125,0.005832533352077007,,0.01714739017188549,0.014598846435546875,0.005910038016736507,,0.018543628975749016,0.02274322509765625,0
0.0,0.0,world_b,persistence,1,0.015431435778737068,,0.008198828436434269,0.034626007080078125,0.018686208873987198,0.003702909452840686,0.006866455078125,0.018624205142259598,,0.003698316402733326,0.0150909423828125,0.018660373985767365,,0.004006040282547474,0.02407073974609375,1
0.0,0.0,world_b,persistence,1,0.005052520427852869,,0.016414055600762367,0.02764129638671875,0.0053560491651296616,0.002294600708410144,0.009738922119140625,0.019318226724863052,,0.005615788046270609,0.016937255859375,0.01435411162674427,,0.010914584621787071,0.020313262939453125,2
0.4974411129951477,0.475154846906662,world_a,random,1,0.2855282425880432,0.10220414400100708,2.6493313312530518,0.12458501756191254,0.1008891835808754,0.008830102160573006,0.12699171900749207,0.10740423202514648,0.10035919398069382,0.10338707268238068,0.12464018166065216,0.13304436206817627,0.10222237557172775,0.45547789335250854,0.12581229209899902,0
0.4974973797798157,0.4749639332294464,world_a,random,1,0.2775310277938843,0.09419631958007812,2.638716459274292,0.13320133090019226,0.10061318427324295,0.008673029951751232,0.12785190343856812,0.10735777765512466,0.10037011653184891,0.10336411744356155,0.1280713975429535,0.12899909913539886,0.09786024689674377,0.4552537202835083,0.125783771276474,1
0.49741390347480774,0.4753245711326599,world_a,random,1,0.2847002446651459,0.10086123645305634,2.650087833404541,0.13480594754219055,0.09919898957014084,0.00870994571596384,0.12699846923351288,0.107503741979599,0.10048766434192657,0.10320749878883362,0.12801361083984375,0.13155527412891388,0.10056557506322861,0.45606759190559387,0.12737397849559784,2
0.4974760413169861,0.4750693738460541,world_b,random,1,0.2801194489002228,0.0977669209241867,2.6477551460266113,0.12949687242507935,0.09292703866958618,0.00866102334111929,0.12319681793451309,0.10399682074785233,0.09724751114845276,0.10294744372367859,0.12272942811250687,0.12773698568344116,0.09738101810216904,0.4560949206352234,0.12221957743167877,0
0.49749940633773804,0.4750765860080719,world_b,random,1,0.28643056750297546,0.10198050737380981,2.6444060802459717,0.12980791926383972,0.1044275313615799,0.008954908698797226,0.1256062239408493,0.11149466037750244,0.10434972494840622,0.10348200798034668,0.12568223476409912,0.13581490516662598,0.10449740290641785,0.45549654960632324,0.12480820715427399,1
0.49734798073768616,0.4752041697502136,world_b,random,1,0.2845829725265503,0.10066647827625275,2.6456053256988525,0.13174253702163696,0.10793349891901016,0.008810069411993027,0.12414468824863434,0.11241336166858673,0.10538553446531296,0.10331632941961288,0.12535899877548218,0.1357034146785736,0.10441896319389343,0.455099493265152,0.12528231739997864,2
,,world_a,phase0,1,0.35195192694664,0.0818822830915451,1.0692436695098877,0.6515285968780518,0.09142426401376724,0.005873355083167553,0.04858193174004555,0.1159665510058403,0.0904005765914917,0.07466183602809906,0.09338520467281342,0.1480759233236313,0.07808040827512741,0.29077351093292236,0.20209012925624847,0
,,world_a,phase0,1,0.404391884803772,0.09304263442754745,1.0446254014968872,0.5635148286819458,0.078079953789711,0.005843187682330608,0.03921206668019295,0.09567033499479294,0.07751305401325226,0.07441624999046326,0.07116258144378662,0.1695985645055771,0.08585328608751297,0.28260499238967896,0.18340006470680237,1
,,world_a,phase0,1,0.3911385238170624,0.09097535908222198,1.068183183670044,0.5938307046890259,0.08741963654756546,0.005991593934595585,0.04081989824771881,0.11752147227525711,0.09134621173143387,0.07659727334976196,0.06941233575344086,0.1798001527786255,0.09103984385728836,0.2898849844932556,0.1786385476589203,2
,,world_b,phase0,1,0.42797479033470154,0.09850341081619263,1.0699987411499023,0.6180956363677979,0.10374805331230164,0.005976680666208267,0.04574368894100189,0.130696639418602,0.09815822541713715,0.07620695233345032,0.0806315466761589,0.2009708285331726,0.09818267822265625,0.2904181182384491,0.1988946944475174,0
