collected,coverage,death_rate,env,goal_success_rate,mode,seed,step1_entity,step4_entity,step8_entity
3.0,0.5243055555555555,0.0,world_a,1.0,structured,0,0.07864851504564285,0.07433726638555527,0.07434467226266861
0.3333333333333333,0.14327485380116958,0.6666666666666666,world_b,0.3333333333333333,structured,0,0.08926152437925339,0.08825893700122833,0.08817171305418015
2.6666666666666665,0.40625,0.0,world_a,1.0,structured,1,0.0816054716706276,0.08424225449562073,0.08765742182731628
1.0,0.19005847953216373,0.6666666666666666,world_b,0.3333333333333333,structured,1,0.08249380439519882,0.08457344025373459,0.08742339164018631
3.0,0.6215277777777778,0.0,world_a,1.0,structured,2,0.076736219227314,0.07657448947429657,0.07644126564264297
0.6666666666666666,0.2134502923976608,0.6666666666666666,world_b,0.6666666666666666,structured,2,0.08699935674667358,0.0863940641283989,0.08589789271354675
3.6666666666666665,0.7534722222222222,0.0,world_a,1.0,side,0,0.009943758137524128,0.00840890035033226,0.010757490992546082
1.0,0.30116959064327486,0.6666666666666666,world_b,0.6666666666666666,side,0,0.006893259473145008,0.008262545801699162,0.00793116632848978
4.0,0.5590277777777778,0.0,world_a,1.0,side,1,0.008808651007711887,0.009188578464090824,0.010070761665701866
2.3333333333333335,0.39181286549707606,0.6666666666666666,world_b,1.0,side,1,0.007597775664180517,0.007892691530287266,0.009213567711412907
2.6666666666666665,0.5798611111111112,0.0,world_a,0.6666666666666666,side,2,0.013038978911936283,0.012019043788313866,0.012494154274463654
2.0,0.23684210526315788,0.6666666666666666,world_b,1.0,side,2,0.013438879512250423,0.013866713270545006,0.014253562316298485
2.0,0.2604166666666667,0.3333333333333333,world_a,0.6666666666666666,learned_grid,0,0.020360354334115982,0.01774425618350506,0.026001669466495514
0.3333333333333333,0.09941520467836257,0.6666666666666666,world_b,0.3333333333333333,learned_grid,0,0.015933820977807045,0.0211356058716774,0.01877686195075512
1.0,0.1527777777777778,0.3333333333333333,world_a,0.3333333333333333,learned_grid,1,0.010095125064253807,0.010306080803275108,0.010634684935212135
0.3333333333333333,0.06725146198830409,0.6666666666666666,world_b,0.3333333333333333,learned_grid,1,0.007356116082519293,0.007495900150388479,0.00823721569031477
2.6666666666666665,0.5277777777777778,0.0,world_a,1.0,learned_grid,2,0.014214816503226757,0.008789901621639729,0.008041288703680038
0.0,0.06432748538011696,0.6666666666666666,world_b,0.0,learned_grid,2,0.011946593411266804,0.01030026562511921,0.009624630212783813
2.0,0.2604166666666667,0.3333333333333333,world_a,0.6666666666666666,learned_grid,0,0.011224922724068165,0.00988361332565546,0.011499934829771519
0.3333333333333333,0.09941520467836257,0.6666666666666666,world_b,0.3333333333333333,learned_grid,0,0.009406989440321922,0.0110003761947155,0.009050550870597363
1.0,0.1527777777777778,0.3333333333333333,world_a,0.3333333333333333,learned_grid,1,0.012975619174540043,0.01266359444707632,0.012121161445975304
0.3333333333333333,0.06725146198830409,0.6666666666666666,world_b,0.3333333333333333,learned_grid,1,0.013654947280883789,0.01338832639157772,0.013486918061971664
2.6666666666666665,0.5277777777777778,0.0,world_a,1.0,learned_grid,2,0.014727930538356304,0.01010462548583746,0.010063374415040016
0.0,0.06432748538011696,0.6666666666666666,world_b,0.0,learned_grid,2,0.014101328328251839,0.013427416794002056,0.01339378859847784
0.0,0.0798611111111111,0.0,world_a,0.0,strict,0,0.01716970093548298,0.01969231106340885,0.03455713018774986
0.0,0.06725146198830409,0.6666666666666666,world_b,0.0,strict,0,0.013715469278395176,0.020571667701005936,0.028026944026350975
0.0,0.11805555555555554,0.3333333333333333,world_a,0.0,strict,1,0.03448345139622688,0.03998881205916405,0.05497366189956665
0.0,0.05555555555555555,0.3333333333333333,world_b,0.0,strict,1,0.03322073817253113,0.03776615113019943,0.05606801435351372
0.0,0.14583333333333334,0.0,world_a,0.0,strict,2,0.08344650268554688,0.07568944990634918,0.08476386964321136
0.0,0.09941520467836257,0.3333333333333333,world_b,0.0,strict,2,0.07447080314159393,0.0824766755104065,0.09030421823263168
