collected,collision_rate,coverage,damage_rate,death_rate,goal_success_rate,intrinsic_mean,repeat_trajectory_ratio,seed,unique_visited,variant
3.6666666666666665,0.00875,0.7534722222222222,0.00875,0.0,1.0,-0.24047916910983552,0.62,0,1.03125,none
4.0,0.015,0.5590277777777778,0.015,0.0,1.0,-0.2613541688397511,0.6375,1,1.0416666666666667,none
2.6666666666666665,0.02125,0.6145833333333334,0.02125,0.0,0.6666666666666666,-0.2841041688118117,0.61375,2,1.0416666666666667,none
3.6666666666666665,0.0125,0.7534722222222222,0.0125,0.00125,1.0,-0.10727689516089972,0.62375,0,1.0208333333333333,novelty
4.0,0.01375,0.5902777777777778,0.01375,0.0,1.0,-0.09489021486806883,0.64,1,1.0416666666666667,novelty
2.6666666666666665,0.02125,0.6145833333333334,0.02125,0.0,0.6666666666666666,-0.09968782733025168,0.61375,2,1.0416666666666667,novelty
3.6666666666666665,0.0125,0.7534722222222222,0.0125,0.00125,1.0,-0.02558110250800403,0.62875,0,1.03125,error
4.0,0.0175,0.5902777777777778,0.0175,0.0,1.0,-0.010566569365561052,0.66375,1,1.0208333333333333,error
2.6666666666666665,0.02125,0.6145833333333334,0.02125,0.0,0.6666666666666666,0.006856921885278804,0.61375,2,1.0416666666666667,error
3.6666666666666665,0.00125,0.6215277777777778,0.00125,0.0,1.0,0.20082313094906115,0.63,0,1.0416666666666667,novelty_error
4.0,0.01625,0.5590277777777778,0.01625,0.0,1.0,0.13342839093514022,0.64,1,1.0416666666666667,novelty_error
2.6666666666666665,0.00875,0.5798611111111112,0.00875,0.0,0.6666666666666666,0.2049427470339879,0.63375,2,1.0104166666666667,novelty_error
3.6666666666666665,0.0125,0.7534722222222222,0.0125,0.00125,1.0,0.27839934574591796,0.62375,0,1.0208333333333333,full
4.0,0.0175,0.5902777777777778,0.0175,0.00125,1.0,0.15593353134681284,0.62,1,1.0416666666666667,full
2.6666666666666665,0.02125,0.6145833333333334,0.02125,0.0,0.6666666666666666,0.15880249209207795,0.61375,2,1.0416666666666667,full
